City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Kavieng,PG,2021-02-07 17:00:01,-2.5744,150.7967,82.53,78,39,9.46
131,Takoradi,GH,2021-02-07 17:02:34,4.8845,-1.7554,83.46,78,100,11.43
132,Goderich,CA,2021-02-07 17:01:31,43.7501,-81.7165,10.4,67,99,16.11
133,Kununurra,AU,2021-02-07 17:02:36,-15.7667,128.7333,78.8,100,100,3.44
134,Comodoro Rivadavia,AR,2021-02-07 17:02:37,-45.8667,-67.5,62.6,59,20,11.5
135,Codrington,AU,2021-02-07 17:02:38,-38.2667,141.9667,56.3,68,88,11.18
136,Beira,MZ,2021-02-07 17:02:40,-19.8436,34.8389,84.2,79,40,4.61
137,La Primavera,CO,2021-02-07 17:02:41,5.4906,-70.4092,93.22,40,100,11.5
138,Gao,ML,2021-02-07 17:02:42,16.6362,1.637,89.31,12,96,3.83
139,Longyearbyen,SJ,2021-02-07 17:01:12,78.2186,15.6401,17.6,67,75,19.57
140,San Patricio,US,2021-02-07 16:53:51,28.017,-97.5169,66.99,59,1,13.8
141,Hithadhoo,MV,2021-02-07 16:53:37,-0.6,73.0833,81.88,73,44,10.07
142,Chuy,UY,2021-02-07 16:50:06,-33.6971,-53.4616,76.84,59,1,7.76
143,Bubaque,GW,2021-02-07 17:02:49,11.2833,-15.8333,79.72,56,0,13.18
144,Donskoye,RU,2021-02-07 17:02:50,45.4552,41.9741,19.4,93,90,4.47
145,Sitka,US,2021-02-07 17:00:56,57.0531,-135.33,28.4,64,75,3.44
146,Bengkulu,ID,2021-02-07 16:55:43,-3.8004,102.2655,76.78,85,100,5.55
147,Carmen,MX,2021-02-07 16:59:23,18.6333,-91.8333,77.0,83,75,11.5
148,Khandyga,RU,2021-02-07 17:02:56,62.6667,135.6,-33.93,82,34,3.11
149,Sibolga,ID,2021-02-07 17:02:57,1.7427,98.7792,77.7,80,91,3.09
150,Roma,US,2021-02-07 17:00:01,43.2128,-75.4557,28.99,54,90,5.06
151,Znamenskoye,RU,2021-02-07 17:02:59,57.1281,73.8282,6.96,92,100,16.17
152,Tignere,CM,2021-02-07 17:03:00,7.3667,12.65,79.7,18,93,4.99
153,Pokaran,IN,2021-02-07 17:03:01,26.9167,71.9167,61.97,28,0,2.3
