City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Bose,IT,45.4612,8.0137,44.01,98,100,3.53,light rain
306,Shenjiamen,CN,29.9576,122.298,48.83,84,100,18.75,overcast clouds
307,Takhtamygda,RU,54.1,123.5667,-20.78,83,0,1.77,clear sky
308,Phek,IN,25.6667,94.5,36.82,100,11,1.14,few clouds
309,Barranquilla,CO,10.9639,-74.7964,86.0,62,20,12.66,few clouds
310,Salalah,OM,17.0151,54.0924,73.4,68,75,4.61,broken clouds
311,Port Lincoln,AU,-34.7333,135.8667,61.14,76,78,15.97,broken clouds
312,Maloy,NO,61.9353,5.1136,25.0,58,0,8.05,clear sky
313,Chumikan,RU,54.7183,135.315,-6.95,83,100,26.98,overcast clouds
314,Inuvik,CA,68.3499,-133.7218,-20.2,76,100,12.66,overcast clouds
315,Khani,GE,41.9563,42.9566,44.6,93,75,2.3,broken clouds
316,Bambous Virieux,MU,-20.3428,57.7575,80.6,78,40,10.36,light rain
317,Mahebourg,MU,-20.4081,57.7,80.6,78,40,10.36,light rain
318,Vila Do Maio,CV,15.1333,-23.2167,68.0,68,40,19.57,scattered clouds
319,Jones,PH,16.5571,121.7029,68.47,93,30,1.59,scattered clouds
320,Porosozero,RU,62.7191,32.727,-3.86,92,49,4.16,scattered clouds
321,Goundam,ML,16.4145,-3.6708,72.34,20,100,10.6,overcast clouds
322,Sur,OM,22.5667,59.5289,64.18,72,0,4.34,clear sky
323,Douglas,US,41.3,-96.167,8.01,66,90,6.91,light snow
324,Singaraja,ID,-8.112,115.0882,76.78,81,100,3.04,overcast clouds
325,Shreveport,US,32.5251,-93.7502,51.01,66,90,9.22,overcast clouds
326,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
327,Anchorage,US,61.2181,-149.9003,12.99,78,20,3.44,haze
328,Vestmanna,FO,62.1564,-7.1664,37.4,56,75,13.8,broken clouds
329,Golden,US,39.7555,-105.2211,54.0,11,20,34.52,few clouds
330,Barcelos,PT,41.5388,-8.6151,55.4,94,40,12.66,scattered clouds
331,Makakilo City,US,21.3469,-158.0858,78.8,41,1,6.91,clear sky
332,Axim,GH,4.8699,-2.2405,80.24,85,67,9.6,broken clouds
333,Verkh-Chebula,RU,56.0308,87.6218,18.43,93,50,11.83,scattered clouds
334,Asau,RO,46.4333,26.4,30.0,73,97,2.24,overcast clouds
335,Zhangjiakou,CN,40.81,114.8794,17.01,79,0,4.68,clear sky
336,Vostok,RU,46.4856,135.8833,-15.92,89,100,3.8,overcast clouds
337,Oruro,BO,-17.9833,-67.15,62.6,45,75,12.66,broken clouds
338,Moussoro,TD,13.6408,16.4901,70.81,20,7,12.37,clear sky
339,Deputatskiy,RU,69.3,139.9,-27.54,85,20,1.57,few clouds
340,Korla,CN,41.7597,86.1469,32.45,76,23,7.4,few clouds
341,Sandovo,RU,58.4602,36.4128,-9.67,89,25,3.91,scattered clouds
342,Cabo San Lucas,MX,22.8909,-109.9124,75.0,56,20,12.66,few clouds
343,Daru,PG,-9.0763,143.2092,79.72,83,65,9.84,broken clouds
344,Salta,AR,-24.7859,-65.4117,80.6,47,40,5.75,scattered clouds
345,Pimentel,PE,-6.8367,-79.9342,82.4,54,0,19.57,clear sky
346,Ahipara,NZ,-35.1667,173.1667,71.13,60,9,9.01,clear sky
347,Kangasala,FI,61.4638,24.076,21.2,79,90,5.75,overcast clouds
348,Beterou,BJ,9.1992,2.2586,79.23,17,48,3.04,scattered clouds
